student_id,age_father,age_mother,edubg_father,edubg_mother,affiliation_father,affiliation_mother,family_income,is_only_child,live_on_campus,gathering_frequency_father,gathering_frequency_mother,family_traveling_times
df02f4beb55cc3a16cc366f59fcc2c8c,45,45,Secondary School (Academic Route (Junior)),Primary School,Sole Trader,Sole Trader,0-100000,No,No,once every day,once every day,5,
3d982d390ab6b9552761728bbf23b3d8,41,42,Higher National Diploma (full-time),Secondary School (Vocatioinal Route),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,5,
d52ccd6b023415fa6c2c2d4413adf500,46,44,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Sole Trader,Sole Trader,150000-200000,No,No,once every day,once every day,3,
41702fd697bc27ab600aa214cd0c4ba0,39,38,Undergraduate (part-time),Undergraduate (part-time),Public Sector,State-owned Enterprise,150000-200000,Yes,No,once every day,once every day,5,
6efe418aeed3ac2fa2416d6fdbf764e6,40,42,Secondary School (Academic Route (Senior)),Postgraduate,Collective Enterprise,State-owned Enterprise,200000-250000,No,No,once every day,once every day,10,
6a08fc3b2b8be43152d689fba20d2d8a,44,48,Primary School,Secondary School (Academic Route (Senior)),Private Enterprise,Private Enterprise,250000-300000,No,No,once every day,once every day,3,
19cb70f8a755c40f628dc552745b2fee,42,37,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Private Enterprise,Sole Trader,0-100000,No,No,once every day,once every day,4,
0c95cb66cbe37d838e5a15237f098768,41,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,2,
c944270468cd6c6b9c46886ce2d98819,40,35,Undergraduate (full-time),Secondary School (Academic Route (Senior)),Public Sector,Others,0-100000,No,No,once every week,once every day,2,
8d413a35e5862135b39d668738a61d3f,42,42,Higher National Diploma (full-time),Higher National Diploma (full-time),Sole Trader,Sole Trader,0-100000,Yes,No,once every month,once every week,3,
8c961c8ccb119c80fb1bee4dc707ac1c,62,48,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Sole Trader,Sole Trader,100000-150000,No,No,once every day,once every day,2,
6a6dc897a2f620ff4f4ca77107cfab83,46,40,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Collective Enterprise,Unknown,100000-150000,Yes,No,once every week,once every day,4,
a8385312e03b16393b0d25e41a87e113,46,41,Undergraduate (full-time),Undergraduate (full-time),Private Enterprise,Private Enterprise,200000-250000,Yes,No,once every week,once every day,1,
44353c732676da5bbd5e11d9ee27bee1,39,40,Higher National Diploma (full-time),Higher National Diploma (full-time),Private Enterprise,Others,200000-250000,No,No,once every day,once every day,5,
a74401e200ade4aec7b2f5ba60cf3e3e,40,36,Undergraduate (part-time),Higher National Diploma (full-time),Unknown,Private Enterprise,150000-200000,No,No,once every day,once every day,2,
4f227316e94086c855b7c17b842cbe5b,38,37,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,0-100000,Yes,No,once every day,once every day,1,
356bcf56c19114fa486c0ce196c2c308,40,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Senior)),Unknown,Unknown,300000 and above,No,No,once every day,once every day,4,
ee57aaa40fb59988b08358c5bf9f73b6,43,38,Undergraduate (part-time),Secondary School (Vocatioinal Route),State-owned Enterprise,Public Sector,0-100000,Yes,No,once every day,once every day,1,
ec578b19d9c230c7726ea429e0d2b724,44,40,Undergraduate (part-time),Undergraduate (part-time),Public Sector,State-owned Enterprise,100000-150000,Yes,No,once every day,once every day,1,
f0fe63a3346021782a46997f590baef6,37,34,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Public Sector,Unknown,0-100000,Yes,No,once every day,once every day,6,
97b5871e7c1250a13242b435970ccbac,44,40,Postgraduate,Undergraduate (part-time),Private Enterprise,Private Enterprise,200000-250000,Yes,No,once every day,once every day,2,
cabea3956f3be8c531a5dfbd59591a72,42,38,Primary School,Secondary School (Academic Route (Senior)),Private Enterprise,Collective Enterprise,100000-150000,Yes,No,once every day,once every day,2,
707f38120a738eedebad892259349819,39,37,Higher National Diploma (part-time),Secondary School (Academic Route (Senior)),Public Sector,Sole Trader,200000-250000,Yes,No,once every day,once every day,41,
08678d3ec40d31413448efcb56b1f8f0,40,40,Higher National Diploma (full-time),Higher National Diploma (full-time),Private Enterprise,Private Enterprise,100000-150000,Yes,No,once every day,once every day,2,
65db4a123610b8d513fa2efbe760b4bb,42,40,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Sole Trader,Collective Enterprise,0-100000,No,No,once every day,once every day,2,
48b8b9bef5f1423f86cff50c4a1db17d,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Public Sector,Unknown,100000-150000,Yes,No,once every day,once every day,3,
f1f84502bfbc84a126a763f4ae08c676,41,42,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Senior)),Collective Enterprise,Collective Enterprise,100000-150000,Yes,No,once every day,once every day,2,
b4f224d60a69051434319ad478b62c14,40,39,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Collective Enterprise,Unknown,100000-150000,Yes,No,once every day,once every day,3,
0cb7e33eb654fb862e71488ea73c254d,40,39,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Public Sector,State-owned Enterprise,100000-150000,Yes,No,once every day,once every day,1,
bb4132314bfad15e24172569bddf6fa4,45,41,Primary School,Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,0-100000,No,No,once every day,once every day,10,
ffbd41b90d8affa84d1aeab0ba58bdfc,42,43,Secondary School (Academic Route (Junior)),Primary School,Others,Sole Trader,0-100000,No,No,once every day,once every day,1,
5bb4f5d93fb9277f84d49fed95e99bde,36,35,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Unknown,Public Sector,0-100000,Yes,No,once every day,once every day,2,
a29d59aa42b3d7452789abc58dc618ff,40,38,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Senior)),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,15,
1cd5a72ac83713196ceb61339082b56c,41,40,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Private Enterprise,Private Enterprise,100000-150000,No,No,once every day,once every day,2,
aa5594b4d2ee017ba0751d42b9486bd3,41,36,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Others,Others,0-100000,Yes,No,once every day,once every day,1,
63505a89975db86c159ab4c2dab4ca0d,47,40,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Sole Trader,Sole Trader,0-100000,Yes,No,once every day,once every day,16,
b1ce56bb155db8f8fb3ccd0d1d16728c,40,40,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Public Sector,Unknown,0-100000,Yes,No,once every day,once every day,1,
f273593f3e8ae7f3030376b0b51f8cb7,40,39,Undergraduate (full-time),Undergraduate (part-time),Sole Trader,Sole Trader,300000 and above,No,No,once every day,once every day,6,
37836c934b1a7137aa43de9213392dac,41,39,Undergraduate (part-time),Secondary School (Vocatioinal Route),State-owned Enterprise,Others,100000-150000,Yes,No,once every day,once every day,1,
f675c39e97d19beed1cad211b11aaf2e,42,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,0-100000,Yes,No,once every day,once every day,2,
62ee44f8ed202a084f9f36abeba23e6f,41,40,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Foreign-funded Enterprise,Others,0-100000,No,No,once every day,once every day,3,
6b7a0bda0962e39190d9e369eaef0827,46,44,Secondary School (Vocatioinal Route),Primary School,Private Enterprise,Private Enterprise,100000-150000,No,No,once every day,once every day,5,
fb70d50dc8f57cf51f73b39e50ff777e,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Others,Others,100000-150000,Yes,No,once every day,once every day,3,
c902605868ba1758ce9bd2515317e946,44,40,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Others,Others,0-100000,No,No,once every day,once every day,1,
8f37cc624a46abef061a5ce4b23fe7ac,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Sole Trader,Sole Trader,100000-150000,Yes,No,once every day,once every day,4,
76aff619fad6dc7309cc5c1a3302e5c3,40,37,Undergraduate (part-time),Undergraduate (part-time),Public Sector,Public Sector,0-100000,No,No,once every day,once every day,0,
fad6030fbb242acd3b3c5e9ff1ffc61e,44,41,Higher National Diploma (part-time),Higher National Diploma (full-time),Foreign-funded Enterprise,Private Enterprise,150000-200000,Yes,No,once every day,once every day,4,
e20024b1ed3fd0bb3e84b67524891032,41,39,Undergraduate (full-time),Undergraduate (full-time),State-owned Enterprise,State-owned Enterprise,100000-150000,No,No,once every day,once every day,2,
c71fb359dec7f16c5f5a4714de3294ed,45,43,Primary School,Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,0-100000,No,No,once every week,once every day,2,
9d3d4102f214977e36d5b73227b26624,46,46,Postgraduate,Postgraduate,Public Sector,Public Sector,300000 and above,No,Yes,once every day,once every day,5,
6bc0f08b89aed073e14758c1d0821e7e,41,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Sole Trader,0-100000,Yes,No,once every year,once every day,2,
ae749392c4678719658d8ebee5aa7434,45,38,Secondary School (Vocatioinal Route),Undergraduate (full-time),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,3,
9ee45c44cf11caa593443ad4abcec554,40,38,Undergraduate (part-time),Undergraduate (part-time),Foreign-funded Enterprise,Public Sector,150000-200000,Yes,No,once every day,once every day,1,
80d6b33425e95ce69125593c79363449,51,44,Higher National Diploma (full-time),Higher National Diploma (full-time),Public Sector,State-owned Enterprise,200000-250000,Yes,No,once every day,once every day,3,
091bb9120ead894d94beb0b352f8e713,40,40,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Collective Enterprise,Collective Enterprise,100000-150000,Yes,No,once every year,once more than a year,2,
2ad34ecf4a6d257f40ddc4102476c0a5,45,44,Secondary School (Academic Route (Junior)),Unschooled,Public Sector,Public Sector,0-100000,No,No,once every day,once every day,5,
1ffa8d866aa1907cb471347798545903,40,40,Secondary School (Academic Route (Junior)),Primary School,Sole Trader,Sole Trader,150000-200000,No,No,once every day,once every day,2,
8070607ea749f720067625ae1ca210e9,39,36,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Sole Trader,Sole Trader,0-100000,Yes,No,once every day,once every day,5,
2d4cb2e0ef021f1e57c163021b7fe0b0,40,39,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Unknown,Collective Enterprise,0-100000,Yes,Yes,once every day,once every day,0,
4365d7d24ed16b95bb5530f8a5219fb4,36,36,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,0-100000,Yes,No,once every day,once every day,2,
05c190b5bec05e9a401f4c3f313f9c34,43,38,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Private Enterprise,Public Sector,100000-150000,Yes,No,once every day,once every week,0,
a61209ebf916a78c6ca01ff5dfb346dd,42,37,Higher National Diploma (part-time),Higher National Diploma (part-time),Foreign-funded Enterprise,Foreign-funded Enterprise,0-100000,Yes,No,once every day,once every day,1,
bef85690d024eb1885088d8b0ae21f26,47,45,Secondary School (Academic Route (Junior)),Primary School,Sole Trader,Sole Trader,150000-200000,No,No,once every day,once every day,8,
765cfffaa8ede81c9a0d781b4fba6b6a,42,38,Undergraduate (full-time),Undergraduate (part-time),Public Sector,Public Sector,300000 and above,Yes,No,once every day,once every day,3,
6f4deb6e9df224ce50ea446e60a1b9fe,40,40,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Others,Sole Trader,0-100000,No,No,once every day,once every day,0,
a7a6c8f4efc12816b936914af57db6ce,44,39,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),State-owned Enterprise,Sole Trader,150000-200000,Yes,No,once every day,once every day,2,
c14be5e12b78c6704929e640c609a498,40,37,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,100000-150000,Yes,Yes,once every day,once every day,5,
5b0a166d53a6c6c94f709c302cd1dccb,43,42,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Sole Trader,Unknown,0-100000,No,No,once every day,once every day,1,
70bf8ca5d4817ab72cefdbd6d446d466,39,38,Higher National Diploma (full-time),Higher National Diploma (full-time),Public Sector,State-owned Enterprise,100000-150000,Yes,No,once every day,once every day,1,
da220c70859061f531bf4e4de0ca8b8c,40,37,Higher National Diploma (part-time),Secondary School (Vocatioinal Route),Unknown,Public Sector,100000-150000,Yes,No,once every day,once every day,3,
0aed99e7a773a72413c110352d779adb,37,35,Primary School,Secondary School (Academic Route (Junior)),Sole Trader,Sole Trader,0-100000,No,No,once every day,once every day,0,
0a9474ffa4bb5d4a3ce9677f017305eb,39,38,Higher National Diploma (part-time),Higher National Diploma (part-time),Private Enterprise,Collective Enterprise,150000-200000,Yes,No,once every day,once every day,3,
955633d93a1c9c924ef790ce5d6611d7,36,40,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,100000-150000,No,Yes,once every day,once every day,5,
c1bf338a5a36bfacbb077402ad3feef9,40,39,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),State-owned Enterprise,Public Sector,0-100000,Yes,No,once every day,once every day,4,
a168bdd113cb43ccd4e209efd1b116de,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),State-owned Enterprise,State-owned Enterprise,150000-200000,Yes,No,once every day,once every day,4,
45c375613fe54565bfaff173f1ed4f5b,38,36,Higher National Diploma (part-time),Undergraduate (part-time),Private Enterprise,Unknown,100000-150000,Yes,No,once every day,once every day,2,
8aee1ab87a2f52a9dd9bfde0285851ed,47,42,Higher National Diploma (full-time),Higher National Diploma (full-time),Private Enterprise,Private Enterprise,150000-200000,Yes,No,once every day,once every day,1,
2c564304397519717494304f30c7abe9,41,37,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Senior)),Sole Trader,Unknown,0-100000,No,No,once every day,once every day,5,
c88a3b6d97ff340d377308f8d7def6c8,38,38,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Collective Enterprise,Collective Enterprise,0-100000,No,No,once every day,once every month,0,
4dc423abf2497b1c67a632b3527fa2c6,41,39,Secondary School (Academic Route (Senior)),Secondary School (Vocatioinal Route),Private Enterprise,Collective Enterprise,100000-150000,Yes,No,once every day,once every day,5,
a42d42c6b22792727d8e8821a3b6a84c,37,40,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Unknown,Unknown,150000-200000,Yes,No,once every day,once every day,4,
d1b0cac278b17e329ef66271631a919b,41,40,Postgraduate,Postgraduate,Private Enterprise,Public Sector,300000 and above,Yes,No,once every day,once every day,5,
756c7bc17f9e9125310113a36705a746,39,36,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Others,Others,0-100000,No,No,once every day,once every day,3,
272189b61a1903feb6b37cd0eee65c88,40,40,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Unknown,Unknown,100000-150000,Yes,Yes,once every week,once every day,5,
5ab12e8aa4a34dfcd03cffbddd3d358f,39,40,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Senior)),Private Enterprise,Sole Trader,0-100000,Yes,No,once every day,once every day,2,
7c7aa563ecb7ded82e728ce14b58832a,39,39,Primary School,Secondary School (Academic Route (Junior)),Private Enterprise,Others,300000 and above,No,No,once every day,once every day,2,
40eb3eebed273c45447286bcb3fc24a4,40,40,Undergraduate (part-time),Undergraduate (part-time),Collective Enterprise,Public Sector,0-100000,Yes,No,once every day,once every day,2,
7617cb189b5a081ef93668bf716fbd1d,49,43,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),State-owned Enterprise,Sole Trader,100000-150000,No,Yes,once every day,once every day,3,
f6a1d0bb9f2d4e904998771bb325ecf6,45,44,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Junior)),Collective Enterprise,State-owned Enterprise,0-100000,Yes,No,once every day,once every day,6,
7baf119b827002e60064fcab7004c34c,36,36,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Private Enterprise,Private Enterprise,100000-150000,No,No,once every day,once every day,1,
98dbd91fc51dfd0dd29f680d95ff8a3d,40,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,150000-200000,Yes,No,once every day,once every day,7,
0d39430573206cd17355ee31fbc15fac,45,38,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Collective Enterprise,Private Enterprise,100000-150000,Yes,No,once every day,once every day,3,
b716f187145e25374dda9ee51b5f0855,44,38,Higher National Diploma (full-time),Secondary School (Vocatioinal Route),Private Enterprise,Private Enterprise,150000-200000,Yes,No,once every day,once every day,2,
812c0c5be49e4dc211020f106911686e,38,37,Primary School,Unschooled,Private Enterprise,Unknown,100000-150000,No,No,once every six months,once every day,2,
39ca9411ab79211f6c934103718c4b0c,44,39,Postgraduate,Postgraduate,Others,Public Sector,200000-250000,Yes,No,once every day,once every day,6,
4d078454616d615ff16789f1ccf36626,44,41,Higher National Diploma (part-time),Secondary School (Vocatioinal Route),Public Sector,Public Sector,0-100000,Yes,No,once every day,once every day,5,
056864a91b9acd006f77f7ae9e8a844a,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,2,
8341056815f3a5f5eccc238b23fbf372,41,37,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Collective Enterprise,Public Sector,200000-250000,Yes,No,once every day,once every day,3,
2da23dba8ae703e9930d1b92e1978314,43,43,Higher National Diploma (part-time),Secondary School (Academic Route (Senior)),Public Sector,Private Enterprise,150000-200000,Yes,No,once every day,once every day,2,
2f6383ae98ddd00b051a6151f438875e,38,35,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Private Enterprise,Private Enterprise,100000-150000,No,No,once every day,once every day,2,
218d1b37926af48bff82a427d5730077,41,40,Higher National Diploma (part-time),Undergraduate (part-time),Public Sector,Public Sector,200000-250000,Yes,No,once every day,once every day,8,
74dd8cb9ff68e7a5c759574ddc54f8b4,42,39,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Public Sector,Public Sector,100000-150000,Yes,No,once every day,once every day,2,
1a51491224d2c6d8cd4400aca8e53301,40,35,Primary School,Primary School,Unknown,Unknown,0-100000,Yes,Yes,once every six months,once every day,0,
120f278c4dc4cf9f1d6892e4430be1dc,44,39,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,100000-150000,No,No,once every day,once every day,4,
6b9c6c2d09e5d25db4d69b5c1c998a11,36,32,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,100000-150000,Yes,No,once every day,once every day,4,
9af2d5937a7875ea2e8f25d0cd2927e4,41,43,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,3,
34e1b9a3fc162dc3883c91fa1b4b12a5,39,36,Postgraduate,Postgraduate,Public Sector,Public Sector,300000 and above,Yes,No,once every day,once every day,6,
f101a93f5b25bfac5830dad2ab4131b3,43,40,Undergraduate (full-time),Higher National Diploma (full-time),Foreign-funded Enterprise,Foreign-funded Enterprise,150000-200000,Yes,No,once every day,once every day,5,
6f5d9842b6b58d7375a744454bc3a993,42,38,Secondary School (Academic Route (Senior)),Secondary School (Vocatioinal Route),Unknown,Unknown,150000-200000,Yes,No,once every day,once every day,30,
a630e71a9bf1b7d9280c1a529dc87d10,41,38,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Private Enterprise,Private Enterprise,100000-150000,Yes,No,once every day,once every day,3,
eb0170d489c1136c77efee3510815f0a,43,38,Undergraduate (part-time),Secondary School (Academic Route (Senior)),Public Sector,Private Enterprise,100000-150000,Yes,No,once every day,once every day,2,
1019c629129c6886cfc25100dd47aa54,55,53,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,0-100000,No,No,once every day,once every day,2,
20811d9118383133f4aa386474973717,43,42,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Private Enterprise,Others,0-100000,Yes,Yes,once every day,once every day,0,
fd9fa7f40defa5178c1fdf39d0794abb,44,38,Secondary School (Academic Route (Senior)),Secondary School (Vocatioinal Route),Private Enterprise,Others,0-100000,Yes,No,once every day,once every day,2,
66bca0014a812cdeb74b830274d9ca35,35,34,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Unknown,Unknown,0-100000,Yes,Yes,once every week,once every day,3,
2d6187783064245df3d9c1cf5a5d0558,43,38,Postgraduate,Undergraduate (full-time),Public Sector,Sole Trader,100000-150000,No,No,once every day,once every day,1,
ed5f58d6ac6368dbbbfa9aa2a74202a1,35,34,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Collective Enterprise,Collective Enterprise,0-100000,Yes,Yes,once every day,once every day,5,
93e1208e226040d119520258f1c253b9,44,39,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Sole Trader,Unknown,300000 and above,Yes,No,once every day,once every day,9,
9e88c5327ae4933be5453a264dd3b06b,42,38,Higher National Diploma (part-time),Secondary School (Academic Route (Junior)),State-owned Enterprise,Private Enterprise,150000-200000,Yes,No,once every day,once every day,3,
3b8f1489e873487ae6b3b2c0c11177cb,36,36,Secondary School (Academic Route (Senior)),Secondary School (Academic Route (Senior)),Sole Trader,Sole Trader,250000-300000,Yes,No,once every day,once every day,3,
f4d8d5f0a55a4bdf7f2ce9bb6416c673,36,38,Undergraduate (full-time),Undergraduate (full-time),Unknown,Unknown,100000-150000,Yes,No,once every day,once every day,4,
1b58a2d5360ae9a2545b4a873ea878bb,42,37,Secondary School (Academic Route (Junior)),Primary School,Sole Trader,Unknown,100000-150000,No,No,once every day,once every day,2,
a840ce227981c64d0f2ce311ee5ad02f,41,40,Higher National Diploma (full-time),Postgraduate,Collective Enterprise,Collective Enterprise,200000-250000,Yes,No,once every day,once every day,7,
46551cb4c9da45e04a18c22f070dc6df,45,40,Postgraduate,Secondary School (Academic Route (Junior)),Sole Trader,Others,300000 and above,Yes,No,once every month,once every day,14,
eb6b4d44f4cf65531ae3fbe15d0eb77d,41,39,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Collective Enterprise,Collective Enterprise,0-100000,Yes,No,once every day,once every day,0,
1c1a46dc5a828b1483cd86b701cbeb9b,41,38,Secondary School (Academic Route (Senior)),Higher National Diploma (part-time),Unknown,Collective Enterprise,150000-200000,No,Yes,once every day,once every day,40,
f817b9d2e2db3a496e417504933d41f7,40,41,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Private Enterprise,Public Sector,0-100000,Yes,No,once every day,once every day,1,
cffc344553594a468967ec822439887f,34,32,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,0-100000,Yes,No,once every week,once every day,1,
102d1b102a667123d1c2228df4c2c646,39,36,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Unknown,300000 and above,No,Yes,once every day,once every day,4,
c83bcdf9cc7dc3d898b52bf19efddc73,40,39,Secondary School (Vocatioinal Route),Secondary School (Vocatioinal Route),Public Sector,Sole Trader,0-100000,Yes,No,once every day,once every day,2,
8ca40408c7b6c346b421d64b020bfcd5,38,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Senior)),Collective Enterprise,Unknown,0-100000,Yes,No,once every day,once every day,0,
30a1ff539ea54f1192983554faecb66a,38,32,Secondary School (Vocatioinal Route),Secondary School (Academic Route (Junior)),Unknown,Unknown,0-100000,Yes,No,once every day,once every day,3,
b17700d177d8f86ab0e8790d6650d3b2,48,41,Higher National Diploma (full-time),Higher National Diploma (full-time),Sole Trader,Collective Enterprise,100000-150000,No,No,once every day,once every day,2,
470bd984f7644f59cdd6fd4f72c3d3be,35,33,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Others,Unknown,100000-150000,No,No,once every day,once every day,2,
9c36b881b94ed37d4497f32a2c80da0d,47,46,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Others,Unknown,0-100000,Yes,No,once every day,once every day,1,
0d51657fc310891eb66c1a5b6bb92fad,39,35,Secondary School (Vocatioinal Route),Postgraduate,Unknown,Unknown,300000 and above,No,No,once every day,once every day,10,
3ec640cc499060b39547a5b6a28e32cf,37,36,Secondary School (Vocatioinal Route),Higher National Diploma (part-time),Public Sector,Unknown,100000-150000,Yes,Yes,once every day,once every day,6,
8d6b853c053ea6e93113b79d05b7f515,38,38,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Others,0-100000,No,No,once every day,once every day,1,
206d84ba8876962b21e8000b7d7cdecd,47,47,Undergraduate (part-time),Postgraduate,Unknown,Unknown,150000-200000,Yes,No,once every day,once every day,3,
c57f59135bba01fbec6da8adc0247be9,40,40,Secondary School (Academic Route (Junior)),Primary School,Unknown,Unknown,0-100000,Yes,No,once every day,once every day,3,
ee53610c7a5545da7fe86f742f3ab071,43,44,Higher National Diploma (part-time),Higher National Diploma (part-time),Sole Trader,Sole Trader,0-100000,Yes,No,once every week,once every six months,3,
f5b55651f2adf13ab4515ff35695f0b8,40,39,Higher National Diploma (part-time),Higher National Diploma (part-time),Public Sector,Unknown,200000-250000,Yes,Yes,once every day,once every day,4,
